B00, 0
B11, Trade, 380.800, 106, S00, B11, 1
B11, Trade, 386.375, 102, S02, B11, 1
B11, Trade, 391.750, 107, S11, B11, 1
B11, Trade, 396.575, 102, S10, B11, 1
B11, Trade, 399.450, 100, S03, B11, 1
B11, Trade, 405.425, 99, S04, B11, 1
B11, Trade, 415.800, 98, S03, B11, 1
B11, Trade, 422.850, 105, S04, B11, 1
B11, Trade, 429.975, 101, S08, B11, 1
B11, Trade, 435.000, 101, S08, B11, 1
B11, Trade, 444.550, 98, S04, B11, 1
B11, Trade, 451.375, 99, S08, B11, 1
B11, Trade, 458.500, 107, B11, S06, 1
B11, Trade, 464.025, 102, S10, B11, 1
B11, Trade, 468.200, 97, S03, B11, 1
B11, Trade, 472.425, 102, S10, B11, 1
B11, Trade, 475.225, 107, B11, S06, 1
B11, Trade, 481.225, 107, B11, S10, 1
B11, Trade, 486.250, 107, B11, S01, 1
B11, Trade, 491.125, 107, B11, S06, 1
B11, Trade, 495.800, 102, S10, B11, 1
B11, Trade, 505.125, 98, S02, B11, 1
B11, Trade, 511.850, 101, S08, B11, 1
B11, Trade, 515.725, 99, S02, B11, 1
B11, Trade, 522.225, 106, S00, B11, 1
B11, Trade, 526.925, 107, B11, S01, 1
B11, Trade, 530.775, 104, S00, B11, 1
B11, Trade, 540.350, 107, S11, B11, 1
B11, Trade, 546.875, 107, S11, B11, 1
B11, Trade, 555.025, 107, B11, S01, 1
B11, Trade, 557.275, 107, S11, B11, 1
B11, Trade, 567.825, 107, B11, S06, 1
B11, Trade, 577.750, 98, S08, B11, 1
B11, Trade, 579.550, 107, S11, B11, 1
B11, Trade, 584.350, 106, S02, B11, 1
B11, Trade, 586.775, 107, B11, S10, 1
B11, Trade, 595.850, 107, B11, S04, 1
B11, Trade, 599.600, 102, S10, B11, 1
B11, Trade, 602.550, 101, S00, B11, 1
B11, Trade, 610.450, 101, S02, B11, 1
B11, Trade, 612.000, 102, S10, B11, 1
B11, Trade, 619.675, 107, S11, B11, 1
B11, Trade, 622.475, 105, S02, B11, 1
B11, Trade, 627.650, 106, S03, B11, 1
B11, Trade, 635.750, 102, S04, B11, 1
B11, Trade, 642.100, 102, S10, B11, 1
B11, Trade, 644.225, 100, S02, B11, 1
B11, Trade, 650.850, 106, S03, B11, 1
B11, Trade, 652.725, 103, S02, B11, 1
B11, Trade, 656.900, 106, S03, B11, 1
B11, Trade, 664.900, 107, B11, S03, 1
B11, Trade, 672.900, 105, S02, B11, 1
B11, Trade, 676.300, 107, S11, B11, 1
B11, Trade, 682.025, 102, S02, B11, 1
B11, Trade, 684.150, 107, S11, B11, 1
B11, Trade, 689.575, 104, S08, B11, 1
B11, Trade, 691.125, 102, S02, B11, 1
B11, Trade, 699.300, 105, S00, B11, 1
B11, Trade, 708.775, 107, B11, S00, 1
B11, Trade, 710.225, 107, S08, B11, 1
B11, Trade, 716.675, 106, S04, B11, 1
B11, Trade, 717.200, 107, S11, B11, 1
B11, Trade, 724.000, 105, S08, B11, 1
B11, Trade, 726.775, 104, S03, B11, 1
B11, Trade, 733.600, 102, S10, B11, 1
B11, Trade, 739.625, 106, S03, B11, 1
B11, Trade, 745.700, 105, S03, B11, 1
B11, Trade, 752.475, 101, S02, B11, 1
B11, Trade, 755.950, 101, S02, B11, 1
B11, Trade, 759.375, 107, B11, S11, 1
B11, Trade, 766.625, 107, B11, S06, 1
B11, Trade, 774.075, 102, S02, B11, 1
B11, Trade, 780.400, 99, S08, B11, 1
B11, Trade, 785.350, 107, B11, S01, 1
B11, Trade, 793.800, 107, B11, S01, 1
B11, Trade, 796.525, 107, B11, S10, 1
B11, Trade, 798.350, 107, S00, B11, 1
B11, Trade, 808.375, 96, S08, B11, 1
B11, Trade, 810.300, 107, B11, S07, 1
B11, Trade, 816.725, 107, S11, B11, 1
B11, Trade, 817.400, 105, S08, B11, 1
B11, Trade, 823.500, 102, S10, B11, 1
B11, Trade, 828.575, 106, S00, B11, 1
B11, Trade, 837.825, 102, S08, B11, 1
B11, Trade, 840.950, 99, S02, B11, 1
B11, Trade, 843.425, 102, S10, B11, 1
B11, Trade, 850.875, 102, S10, B11, 1
B11, Trade, 857.400, 102, S04, B11, 1
B11, Trade, 857.975, 102, S03, B11, 1
B12, 61
B12, Trade, 28.900, 102, B12, S00, 1
B12, Trade, 31.175, 102, S10, B12, 1
B12, Trade, 37.400, 109, B12, S05, 1
B12, Trade, 78.600, 102, B12, S03, 1
B12, Trade, 96.850, 103, B12, S01, 1
B12, Trade, 105.225, 105, S04, B12, 1
B12, Trade, 141.550, 107, S11, B12, 1
B12, Trade, 146.450, 110, S03, B12, 1
B12, Trade, 150.650, 106, B12, S02, 1
B12, Trade, 160.525, 98, S08, B12, 1
B12, Trade, 169.625, 107, B12, S01, 1
B12, Trade, 202.200, 102, S10, B12, 1
B12, Trade, 216.575, 100, S04, B12, 1
B12, Trade, 223.975, 97, B12, S05, 1
B12, Trade, 236.750, 103, S08, B12, 1
B12, Trade, 246.000, 104, S04, B12, 1
B12, Trade, 251.250, 97, S02, B12, 1
B12, Trade, 251.875, 102, S10, B12, 1
B12, Trade, 262.800, 103, S02, B12, 1
B12, Trade, 272.325, 105, S02, B12, 1
B12, Trade, 294.800, 107, S11, B12, 1
B12, Trade, 297.025, 93, B12, S07, 1
B12, Trade, 303.375, 99, S00, B12, 1
B12, Trade, 310.200, 103, S03, B12, 1
B12, Trade, 318.800, 106, S03, B12, 1
